verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly,clean_the_line_item
Fiber,Fiber,Fiber,2818260-2,TRUE,FALSE
Fiber,Fiber,Fiber,2818267-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2818736-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2819277-2,TRUE,TRUE
Fiber,Fiber,Fiber,2819388-1,TRUE,FALSE
Fiber,Fiber,Fiber,2819412-1,TRUE,FALSE
Fiber,Fiber,Fiber,2819772-2,TRUE,FALSE
Fiber,Fiber,Fiber,2819972-3,TRUE,FALSE
Fiber,Fiber,Fiber,2819972-4,TRUE,FALSE
Fiber,Fiber,Fiber,2819992-1,TRUE,FALSE
Fiber,Fiber,Fiber,2821127-1,TRUE,FALSE
Other / Uncategorized,Fiber,Other / Uncategorized,2821157-1,FALSE,FALSE
Copper,Cable / DSL,Copper,2821632-5,FALSE,FALSE
Copper,Cable / DSL,Copper,2821632-5,FALSE,FALSE
Fiber,Fiber,Other / Uncategorized,2822221-1,TRUE,TRUE
Copper,Copper,Copper,2822484-1,TRUE,FALSE
Fiber,Fiber,Fiber,2822711-3,TRUE,FALSE
Cable / DSL,Cable / DSL,Cable / DSL,2822716-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2822725-1,TRUE,TRUE
Fiber,Fiber,Fiber,2822989-1,TRUE,FALSE
Fiber,Fiber,Fiber,2824990-1,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Fixed Wireless,2825118-1,TRUE,FALSE
Fiber,Fiber,Fiber,2825261-1,TRUE,FALSE
Fiber,Fiber,Fiber,2825582-2,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2826927-1,TRUE,FALSE
Copper,Copper,Other / Uncategorized,2827062-3,TRUE,TRUE
