line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
819224,953859,District,125415,JOHNSONBURG AREA SCHOOL DIST,PA,1024515,2781262,1,Transport and Internet,Y,1000,Lit Fiber Service,Fiber,1,0,990,11880,"Zito Media Voice, LLC",TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
819296,960646,School,17818,CLAYSBURG-KIMMEL JR-SR H S,PA,1025029,2782786,1,Internet,N,100,Standalone Internet Access,Other / Uncategorized,1,45,1610,19365,CenturyLink United Telephone Co. of Pennsylvania FKA Embarq,TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2020 0:00
819297,960646,School,17818,CLAYSBURG-KIMMEL JR-SR H S,PA,1025029,2782786,2,Transport and Internet,N,500,Ethernet,Fiber,1,0,1265,15180,CenturyLink United Telephone Co. of Pennsylvania FKA Embarq,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2020 0:00
820168,954304,Consortium,125723,INTERMEDIATE UNIT 15,PA,1029261,2827726,1,Transport,Y,1000,Lit Fiber Service,Fiber,25,0,44448.58,533382.96,Comcast Business Communications,TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2017 0:00
820821,954297,Consortium,125630,SENECA HIGHLANDS IU 9,PA,1033413,2811830,1,Transport,Y,100,Lit Fiber Service,Fiber,,0,22895,274740,"Affiniti PA ,LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
820822,954297,Consortium,125630,SENECA HIGHLANDS IU 9,PA,1033413,2811841,1,Internet,Y,502,Standalone Internet Access,Fiber,0,0,5914,70968,"Affiniti PA ,LLC",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
821223,954309,Consortium,125917,INTERMEDIATE UNIT 20,PA,1035183,2827862,1,Internet,N,2,Standalone Internet Access,Other / Uncategorized,7,0,276.93,3323.16,"RCN Telecom Services (Lehigh), LLC",TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
822286,954309,Consortium,125917,INTERMEDIATE UNIT 20,PA,1040342,2840576,1,Internet,N,1,Standalone Internet Access,Other / Uncategorized,1,0,39.95,479.4,"Blue Ridge Cable Technologies, Inc.",TRUE,n/a,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
822334,954308,Consortium,125965,INTERMEDIATE UNIT 19,PA,1040398,2835021,1,Internet,N,1600,Ethernet,Fiber,20,0,27379,328548,Verizon Pennsylvania LLC.,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
822564,954298,Consortium,125647,INTERMEDIATE UNIT 10,PA,1041081,2837176,1,Internet,N,199,Standalone Internet Access,Fiber,4,0,1200,14400,"Affiniti PA ,LLC",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
