line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
203207,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000678,2805666,1,Transport,Y,400,Lit Fiber Service,Fiber,2,0,1715.5,20586,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
203210,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000678,2805666,4,Transport,Y,5000,Lit Fiber Service,Fiber,1,0,5674.52,68094.24,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
203211,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000678,2805666,5,Transport,Y,1.5,DS-1 (T-1),Copper,1,0,642.3,7707.6,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
203212,943383,District,143411,CLARK COUNTY SCHOOL DISTRICT,NV,1000678,2805666,2,Transport,Y,100,Lit Fiber Service,Fiber,2,0,1365.52,16386.24,CenturyLink Central Telephone Co. of Nevada (FKA),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
203413,949571,District,129405,BEREA CITY PUBLIC SCHOOLS,OH,1004166,2740166,1,Internet,N,500,Lit Fiber Service,Fiber,1,0,3583,42996,North Coast Council,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
203677,952182,Consortium,145109,COVE SCHOOL DISTRICT 15,OR,997400,2719570,1,Transport,N,100,"E.g., Microwave Service",Fixed Wireless,1,0,550,6600,Wtechlink Inc,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2016 0:00
203685,1031250,OtherLocation,145063,LAKE ED SERVICE DISTRICT,OR,1020246,2768635,1,Transport,N,1.5,DS-1 (T-1),Copper,4,0,1905.19,22862.28,CenturyLink Qwest Corporation,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2016 0:00
203700,1073066,OtherLocation,198617,LAKE COUNTY EDUCATION SERVICE DISTRICT,OR,1031738,2806286,1,Internet,N,20,Lit Fiber Service,Fiber,1,0,3049.95,36599.4,"Hunter Communications, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/27/2016 0:00
204104,1032821,Consortium,120839,R.I. DEPARTMENT OF ELEMENTARY & SECONDARY,RI,996401,2742787,1,Transport,N,1000,Lit Fiber Service,Fiber,23,0,11500,138000,Oshean Inc,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6/30/2016 0:00
204133,959598,District,120806,CENTRAL FALLS SCHOOL DISTRICT,RI,1026524,2787195,1,Internet,N,500,Standalone Internet Access,Other / Uncategorized,1,0,1733.34,20800.08,Oshean Inc,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
204145,959621,District,120793,NEWPORT PUBLIC SCHOOL DISTRICT,RI,1021158,2805228,1,Internet,N,300,Standalone Internet Access,Other / Uncategorized,1,0,1500,18000,Oshean Inc,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6/30/2016 0:00
205053,967095,District,128285,ETOWAH CITY SCHOOL DISTRICT,TN,1024696,2781823,1,Internet,N,100,Lit Fiber Service,Fiber,1,0,7400,88800,"ENA Services, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
