line_item_id,service_provider_name,postal_cd,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
811774,CenturyLink Qwest Corporation,OR,1.5,,Copper,5715.57,2768635-1
811814,"Hunter Communications, Inc.",OR,1000.0,4906,Fiber,14400.0,2773677-1
811837,Verizon Wireless (Cellco Partnership),OR,30.0,49,Other / Uncategorized,479.88,2776999-1
811892,Douglas Sevices Inc,OR,1000.0,1447,Fiber,9786.0,2789456-1
811995,"Charter Fiberlink OR-CCVII, LLC",OR,50.0,260,Fiber,7680.0,2851420-1
811998,"Frontier Communications Northwest, Inc.",OR,10.0,131,Other / Uncategorized,9062.4,2847778-1
812026,"Hunter Communications, Inc.",OR,20.0,724,Fiber,36599.4,2806286-1
812052,CenturyLink Qwest Corporation,OR,1.5,33,Copper,4704.0,2818188-1
812053,CenturyLink Qwest Corporation,OR,1.5,33,Copper,4704.0,2818194-1
812083,"Comspan Communications, Inc",OR,200.0,639,Fiber,0,2814621-1
812284,Comcast Business Communications,OR,5000.0,39691,Fiber,32097.96,2825582-1
812285,Comcast Business Communications,OR,1000.0,39691,Fiber,12190.155652173913,2825582-2
812286,Comcast Business Communications,OR,,39691,Other / Uncategorized,6366.96,2825582-3
812287,Comcast Business Communications,OR,2000.0,39691,Fiber,16329.96,2825582-4
812288,Comcast Business Communications,OR,4000.0,39691,Fiber,21108.96,2825582-5
812290,"Charter Fiberlink OR-CCVII, LLC",OR,100.0,1347,Fiber,7378.08,2827120-1
812293,Inland Development Corporation,OR,20000.0,5258,Fiber,53760.0,2825827-1
812319,Eastern Oregon Technology,OR,3.0,,Other / Uncategorized,4680.0,2830501-1
812454,Mt. Angel Telephone Company,OR,30.0,713,Other / Uncategorized,815.4,2832486-1
812466,"WAVEDIVISION HOLDINGS, LLC",OR,1000.0,1959,Fiber,9000.0,2837378-1
812501,County of Clackamas,OR,1000.0,2145,Fiber,3060.0,2837406-1
812570,"WAVEDIVISION HOLDINGS, LLC",OR,200.0,2240,Fiber,23400.0,2844934-1
812607,"Hunter Communications, Inc.",OR,100.0,4906,Fiber,10063.431428571428,2849456-1
812608,"Hunter Communications, Inc.",OR,900.0,4906,Fiber,3807.48,2849456-2
812658,Douglas Sevices Inc,OR,500.0,6255,Fiber,13856.123076923077,2852433-1
812670,CenturyLink Qwest Corporation,OR,1.5,2166,Copper,3753.6,2856612-1
812673,Inland Development Corporation,OR,100.0,2166,Fiber,5136.0,2857503-1
812689,City of Portland,OR,1000.0,46748,Fiber,14534.971612903226,2856678-1
812703,Comcast of Oregon Washington,OR,100.0,1131,Fiber,7349.88,2868249-1
812721,TDS Baja Broadband LLC,OR,1000.0,16586,Fiber,17100.0,2862060-1
812722,TDS Baja Broadband LLC,OR,1000.0,16586,Fiber,17100.0,2862062-1
812724,TDS Baja Broadband LLC,OR,100.0,16586,Fiber,2399.88,2862064-1
812725,TDS Baja Broadband LLC,OR,100.0,16586,Fiber,2399.88,2862065-1
812726,TDS Baja Broadband LLC,OR,100.0,16586,Fiber,2388.0,2862066-1
812728,"BendTel, Inc",OR,600.0,16586,Fiber,46800.0,2862068-1
812729,"Fatbeam, LLC",OR,1000.0,16586,Fiber,13140.0,2862070-1
813086,"CoastCom, Inc",OR,100.0,499,Fiber,3000.0,2867275-1
813088,"CoastCom, Inc",OR,40.0,499,Other / Uncategorized,14650.0,2867277-1
813100,Beaver Creek Cooperative Telephone Company,OR,1000.0,8138,Fiber,12767.04,2868872-1
813102,Comcast Business Communications,OR,1000.0,8138,Fiber,21023.76,2868875-1
813125,"Cogent Communications, Inc.",OR,,,Fiber,78000.0,2869938-1
813157,Comcast Business Communications,OR,1000.0,6830,Fiber,11606.4,2870968-1
814299,"Sunesys, LLC",PA,1000.0,1009,Fiber,9450.0,2726539-1
814301,"Salsgiver, Inc",PA,50.0,1009,Fiber,9600.0,2745889-1
814628,PenTeleData Limited Partnership I,PA,1000.0,16966,Fiber,15600.0,2724789-1
