"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly","clean_the_line_item"
"487","Other / Uncategorized","Fiber","Fiber","2740020-1",FALSE,FALSE
"491","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2740044-3",TRUE,TRUE
"492","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2740044-4",TRUE,TRUE
"494","Fixed Wireless","Fixed Wireless","Other / Uncategorized","2740044-6",TRUE,TRUE
"498","Fiber","Fiber","Fiber","2740057-1",TRUE,FALSE
"500","Fiber","Fiber","Fiber","2740065-1",TRUE,FALSE
"503","Cable / DSL","Cable / DSL","Cable / DSL","2740152-1",TRUE,FALSE
"507","Fiber","Fiber","Fiber","2740316-1",TRUE,FALSE
"517","Fiber","Fiber","Fiber","2740875-1",TRUE,FALSE
"518","Cable / DSL","Cable / DSL","Cable / DSL","2740902-1",TRUE,FALSE
"523","Fiber","Fiber","Other / Uncategorized","2741049-1",TRUE,TRUE
"526","Fiber","Fiber","Fiber","2741067-1",TRUE,FALSE
"531","Fiber","Fiber","Fiber","2741261-1",TRUE,FALSE
"532","Fiber","Fiber","Fiber","2741261-2",TRUE,FALSE
"533","Cable / DSL","Cable / DSL","Other / Uncategorized","2741306-1",TRUE,TRUE
"535","Fiber","Fiber","Other / Uncategorized","2741355-1",TRUE,TRUE
"543","Fiber","Fiber","Fiber","2741777-1",TRUE,FALSE
"548","Fiber","Fiber","Other / Uncategorized","2741833-1",TRUE,TRUE
"550","Fiber","Fiber","Fiber","2741969-1",TRUE,FALSE
"582","Fiber","Fiber","Fiber","2744213-2",TRUE,FALSE
"588","Fiber","Fiber","Other / Uncategorized","2744315-1",TRUE,TRUE
"601","Fiber","Other / Uncategorized","Other / Uncategorized","2744835-1",FALSE,FALSE
"606","Cable / DSL","Cable / DSL","Cable / DSL","2745055-1",TRUE,FALSE
"613","Fiber","Fiber","Other / Uncategorized","2745533-1",TRUE,TRUE
"617","Fiber","Fiber","Other / Uncategorized","2745833-1",TRUE,TRUE
"618","Fiber","Fiber","Fiber","2745836-1",TRUE,FALSE
"623","Fiber","Fiber","Fiber","2745909-1",TRUE,FALSE
"630","Fiber","Fiber","Fiber","2746305-1",TRUE,FALSE
"639","Fiber","Fiber","Fiber","2746431-2",TRUE,FALSE
