"esh_id","name","postal_cd","c2_prediscount_budget_15","c2_prediscount_remaining_17","c2_postdiscount_remaining_17","needs_wifi"
"937664","Souhegan Cooperative School District","NH",131370.32,0,0,NA
"937666","Stark School District","NH",9412.8,0,0,NA
"937670","Stratford School District","NH",9412.8,0,0,NA
"937679","Unity School District","NH",17955.99,0,0,NA
"937685","Waterville Valley School District","NH",9412.8,0,0,NA
"937688","Wentworth School District","NH",9412.8,0,0,NA
"941009","Absecon Public School District","NJ",125231.52,0,0,"t"
"941016","Allamuchy Township School Dist","NJ",66912.92,3189.39,1275.756,"f"
"941062","Andover Regional School Dist","NJ",77962.76,0,0,"f"
"941065","Atlantic City Bve-Admin","NJ",1062626.28,55562.37,46390.3005,"f"
"941070","Avalon School District","NJ",9412.8,0,0,"f"
"941664","Barnegat Township School Dist","NJ",476677.82,42408.37,23954.685,"f"
"941075","Bayonne Public Schools","NJ",1405938.67,10435.96,8870.566,"f"
"941078","Belleville School District","NJ",683555.38,0,0,NA
"941086","Berkeley Township School Dist","NJ",317836.37,0,0,"f"
"941088","Berlin Township Sch District","NJ",94690.99,875.42,525.252,"f"
"941090","Bethlehem Twp School District","NJ",58165.13,1315.13,657.565,"f"
"941094","Bloomfield School District","NJ",967167.94,88384.35,54061.674,"f"
"941102","Bordentown Regional Sch Dist","NJ",391501.97,5643.18,2257.272,"f"
"941111","Bridgeton School District","NJ",801880.75,73345.36,62343.556,NA
"941114","Brigantine Public Schools","NJ",94077.11,6896.75,5511.48,"t"
"941117","Buena Regional School District","NJ",277320.29,2478.74,1982.992,"f"
"941127","Camden City Public Schools","NJ",1609593.36,182503.42,155127.907,"f"
"941130","Cape May City School District","NJ",25169.08,0,0,"f"
"940939","Chatham School District","NJ",639202.55,12073.9,4444.198,"f"
"941148","Clayton School District","NJ",227493.67,30094.8,18998.16,"f"
"941149","Clearview Reg High School Dist","NJ",364491.25,6799,2719.6,"t"
"941150","Clementon School District","NJ",69982.32,6532.32,5552.472,"f"
"941152","Clifton School District","NJ",1826753.41,220840.18,158367.3195,"f"
"941163","Cumberland County Board Of Vocational Education","NJ",17342.11,0,0,NA
"941167","Deerfield Township School Dist","NJ",50798.57,0,0,"f"
"941175","Denville Township School Dist","NJ",251690.8,0,0,"f"
"941176","Deptford School District","NJ",668873.39,1984.82,992.41,"f"
"941179","Dumont School District","NJ",385823.58,55793.28,22317.312,"f"
"941189","East Orange School District","NJ",1366343.41,76077.2,54168.272,"f"
"941197","Edgewater Park School District","NJ",130756.44,0,0,"f"
"941199","Edison Twp School District","NJ",2236569.44,197406.1,95761.266,"f"
"941204","Elk Township School District","NJ",51719.39,0,0,"f"
"941209","Englewood School District","NJ",481435.39,23799.56,19478.945,"f"
"941222","Flemington-Raritan Reg Dist","NJ",483583.97,65271.74,27298.696,"f"
"941230","Franklin Borough School District","NJ",72898.25,1648.25,988.95,"f"
"941237","Freehold Borough School Dist","NJ",262740.64,18991.58,15662.9315,"f"
"941239","Freehold Reg High School Dist","NJ",1677273.63,8817.14,4222.033,"f"
"941241","Frelinghuysen Twp School Dist","NJ",22867.03,0,0,"f"
"941245","Garfield School District","NJ",581804.77,0,0,"f"
"941253","Gloucester City School Dist","NJ",330267.44,0,0,"t"
"941257","Greater Egg Harbor Reg Hs Dist","NJ",508292.64,0,0,"f"
"941277","Hamilton Township School Dist","NJ",468697.38,40983.75,31546.405,"f"
"941278","Hamilton Township School Dist","NJ",1757845.38,247690.48,152105.3425,"f"
"941281","Hampton Twp School District","NJ",44813.24,0,0,"f"
"941299","High Point Reg High School","NJ",144875.68,0,0,NA
"941304","Hillside School District","NJ",485886.02,0,0,"f"
"941318","Hunterdon Ctl Reg Hgh Sch Dist","NJ",465321.04,0,0,"f"
"941322","Jackson Twp School District","NJ",1301732.54,5284.28,2113.712,"f"
"941325","Jersey City School District","NJ",4083069.35,26774.47,21419.576,"f"
"941326","Keansburg School District","NJ",226675.19,512.83,410.264,NA
"941327","Kearny School District","NJ",866645.09,44741.72,32954.253,"t"
"941330","Keyport School District","NJ",161910.85,23161.12,18528.896,"f"
"941336","Knowlton Township Board Of Education","NJ",30847.47,1374.28,687.14,"f"
"941340","Lakehurst School District","NJ",50645.1,0,0,"f"
"941342","Lakewood Twp School District","NJ",805870.97,60754.07,51640.9595,NA
"941360","Little Egg Harbor Twp Sch Dist","NJ",196288.13,15304.42,10713.094,"f"
"941513","Long Hill Township School Dist","NJ",129221.74,0,0,"f"
"941373","Lower Cape May Reg School Dist","NJ",210867.78,0,0,"t"
"941375","Lower Township Elem Sch Dist","NJ",259364.3,8982.26,7185.808,"t"
"941378","Lyndhurst Board Of Education","NJ",372778.63,0,0,"f"
"941382","Mahwah Twp School District","NJ",448439.34,54276.17,21710.468,"f"
"941384","Manalapan-Englishtown Sch Dist","NJ",763871.32,0,0,"f"
"941410","Metuchen School District","NJ",336252.77,18723.34,13106.338,"f"
"941413","Middlesex County Vocational And Technical Schools","NJ",321673.12,45198.85,30449.971,"f"
"941416","Midland Park Public Schools","NJ",156078.99,0,0,"f"
"941417","Milford School District","NJ",12124.13,0,0,"f"
"941425","Monmouth Reg High School Dist","NJ",155311.64,0,0,NA
"941429","Montclair School District","NJ",1014897.11,73000.41,29670.178,"f"
"941440","Morris Plains School District","NJ",92695.88,1189.68,475.872,"f"
"941445","Mount Laurel School Dist","NJ",601141.99,72450.73,28980.292,"f"
"941450","National Park School District","NJ",40209.14,0,0,"f"
"941452","Neptune Twp School District","NJ",636593.56,40426.36,31899.9895,"f"
"941476","Northern Highlands Reg Hs Dist","NJ",209179.61,2329.61,465.922,"f"
"941486","Ocean Gate School District","NJ",24401.73,0,0,"t"
"941489","Oceanport Board Of Education","NJ",94077.11,2477.94,991.176,"f"
"941491","Ogdensburg School District","NJ",38367.5,0,0,"f"
"941499","Oxford Twp School District","NJ",47575.7,0,0,"f"
"941510","Passaic Co Reg High Sch Dist 1","NJ",199050.59,27616.88,13808.44,"f"
"941511","Passaic County Manchester Dist","NJ",135820.95,0,0,"t"
"941516","Paulsboro Public Schools","NJ",201352.64,23941.32,9576.528,"f"
"941519","Penns Grove-Carneys Pt Reg Dis","NJ",332262.55,0,0,NA
"941524","Perth Amboy School District","NJ",1462108.69,166302.75,123194.163,"f"
"941538","Pleasantville School District","NJ",515198.79,0,0,"f"
"941549","Quinton Township School Dist","NJ",52947.15,0,0,"f"
"941551","Rahway School District","NJ",585027.64,34910.05,27928.04,"f"
"941557","Randolph Twp School District","NJ",737116.41,11324.48,4529.792,"f"
"941559","Readington Township Sch Dist","NJ",246933.23,3017.3,1438.696,"f"
"941570","Riverdale School District","NJ",49570.81,0,0,"f"
"941497","River Dell Regional School District","NJ",251997.74,33756.13,6751.226,"f"
"941575","Rockaway Township School Dist","NJ",360654.5,22015.27,9034.523,"f"
"941591","Salem City School District","NJ",173267.63,0,0,"f"
"941602","Secaucus School District","NJ",338094.41,38272.04,19136.02,"f"
"941603","Shamong Twp School District","NJ",118785.78,9657.16,3862.864,"f"
"941605","Shore Reg High School District","NJ",94384.05,2134.05,853.62,"f"
"941611","Somerville Public Schools","NJ",364491.25,37395.55,14958.22,NA
"941616","South Hackensack School Dist","NJ",38674.44,3632.34,2179.404,"f"
"941617","South Harrison Twp School Dist","NJ",60160.24,0,0,"f"
"941648","Teaneck School District","NJ",546506.67,12560.12,7536.072,"f"
"941651","Tewksbury Township School Dist","NJ",87477.9,1181.7,590.85,"f"
"941657","Trenton City School District","NJ",1723468.1,110429.01,83298.249,"f"
"941661","Union City School District","NJ",1804039.85,0,0,"f"
"941729","Union County Vocational Technical School District","NJ",251537.33,3662.72,1465.088,"f"
"941670","Upper Saddle River School Dist","NJ",182782.77,2157.82,431.564,"f"
"941671","Upper Township School District","NJ",216085.76,17367.01,7275.927,"f"
"941682","Wallington Public School Dist","NJ",197055.48,0,0,"f"
"941681","Wall Township School District","NJ",531313.14,39160.43,15664.172,"f"
"941684","Wanaque School District","NJ",144722.21,0,0,"f"
"941690","Washington Twp School District","NJ",1131227.37,169174.29,95552.783,"f"
"941693","Washington Twp School District","NJ",73665.6,0,0,"f"
"941694","Watchung Borough School Dist","NJ",104666.54,2367.14,717.022,"f"
"941701","West Cape May School District","NJ",15040.06,0,0,"f"
