"esh_id","name","num_students","ia_bw_mbps_total","district_bw_per_student","district_meeting_goals_2014","service_provider_2016","bandwidth_in_mbps_2016","sp_bw_per_student","sp_meeting_goals_2014","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","locale","district_size","city","postal_cd","zip"
969959,"ROYSE CITY ISD",4897,1600,326.730651419236,1,"AT&T",1000,204.206657137023,1,"2019-06-30","Internet",0.62,3501.6,TRUE,FALSE,"Rural","Medium","ROYSE CITY","TX",75189
969962,"RUSK ISD",2080,250,120.192307692308,1,"Cebridge",150,72.1153846153846,0,"2019-06-30","Upstream",0.6,1150,TRUE,FALSE,"Rural","Small","RUSK","TX",75785
969969,"SALADO ISD",1429,100,69.9790062981106,0,"Grande Comm",100,69.9790062981106,0,"2017-06-30","Internet",1,1385,TRUE,FALSE,"Rural","Small","SALADO","TX",76571
969973,"SAN ANGELO ISD",14187,3250,229.082963276239,1,"Cebridge",3250,229.082963276239,1,"2017-06-30","Internet",1,14019.75,TRUE,FALSE,"Urban","Large","SAN ANGELO","TX",76904
969975,"SAN AUGUSTINE ISD",702,1000,1424.50142450142,1,"AT&T",1000,1424.50142450142,1,"2019-06-30","Internet",1,2944.6,TRUE,FALSE,"Rural","Small","SAN AUGUSTINE","TX",75972
969977,"SAN DIEGO ISD",1288,500,388.198757763975,1,"Charter",500,388.198757763975,1,"2019-06-30","Internet",1,2460,TRUE,FALSE,"Town","Small","SAN DIEGO","TX",78384
969982,"SAN FELIPE-DEL RIO CISD",10090,1005,99.603567888999,0,"Charter",1000,99.1080277502478,0,"2017-06-30","Internet",1,7450,TRUE,FALSE,"Town","Medium","DEL RIO","TX",78842
969992,"SANGER ISD",2584,275,106.424148606811,1,"Cebridge",275,106.424148606811,1,"2017-06-30","Internet",1,2934.95,TRUE,FALSE,"Rural","Medium","SANGER","TX",76266
969994,"SANTA FE ISD",4487,700,156.00624024961,1,"PHONOSCOPE LIGHT",700,156.00624024961,1,"2019-06-30","Internet",1,3100,TRUE,FALSE,"Suburban","Small","SANTA FE","TX",77510
969996,"SANTA MARIA ISD",647,81.544,126.03400309119,1,"AT&T",1001.544,1547.98145285935,1,"2017-06-30","Internet, Upstream",1,1645.14,TRUE,FALSE,"Rural","Small","SANTA MARIA","TX",78592
970006,"SEALY ISD",2646,250,94.4822373393802,0,"AT&T",250,94.4822373393802,0,"2018-06-30","Internet",1,1732,TRUE,FALSE,"Rural","Small","SEALY","TX",77474
970007,"SEGUIN ISD",6922,1000,144.46691707599,1,"Charter",1000,144.46691707599,1,"2018-06-30","Internet",1,12546.48,TRUE,FALSE,"Town","Medium","SEGUIN","TX",78155
970008,"SEMINOLE ISD",2617,600,229.27015666794,1,"AT&T",600,229.27015666794,1,"2019-07-01","Internet",1,2647.2,TRUE,FALSE,"Town","Medium","SEMINOLE","TX",79360
970018,"SHELDON ISD",7191,1000,139.062717285496,1,"Windstream",1000,139.062717285496,1,"2017-06-30","Internet",1,4150,TRUE,FALSE,"Suburban","Medium","HOUSTON","TX",77044
970021,"SHINER ISD",562,20,35.5871886120996,0,"AT&T",1000,1779.35943060498,1,"2019-06-30","Upstream",1,877,TRUE,FALSE,"Rural","Small","SHINER","TX",77984
970025,"SILSBEE ISD",2667,1000,374.953130858643,1,"Charter",1000,374.953130858643,1,"2019-06-30","Internet",1,3300,TRUE,FALSE,"Town","Medium","SILSBEE","TX",77656
970030,"SINTON ISD",2090,1000,478.468899521531,1,"AT&T",1000,478.468899521531,1,"2017-06-30","Internet",1,4053.2,TRUE,FALSE,"Town","Small","SINTON","TX",78387
970032,"SKIDMORE-TYNAN ISD",789,500,633.713561470215,1,"Cogent",500,633.713561470215,1,"2019-06-30","Internet",1,2014,TRUE,FALSE,"Rural","Small","SKIDMORE","TX",78389
970038,"SNOOK ISD",486,130,267.489711934156,1,"Cebridge",100,205.761316872428,1,"2020-06-30","Internet",0.77,1200,TRUE,FALSE,"Rural","Small","SNOOK","TX",77878
970039,"SNYDER ISD",2554,280,109.631949882537,1,"Cebridge",1000,391.542678151919,1,"2020-06-30","Upstream",1,208.041818181818,TRUE,FALSE,"Town","Medium","SNYDER","TX",79549
970040,"SOUTH SAN ANTONIO ISD",9419,1500,159.252574583289,1,"AT&T",1500,159.252574583289,1,"2017-06-30","Internet",1,10537.36,TRUE,FALSE,"Urban","Large","SAN ANTONIO","TX",78242
970046,"SOUTHSIDE ISD",4831,2300,476.091906437591,1,"AT&T",2300,476.091906437591,1,"2018-06-30","Internet",1,7675.48,TRUE,FALSE,"Rural","Medium","SAN ANTONIO","TX",78221
970047,"SOUTHWEST ISD",12823,1000,77.9848709350386,0,"AT&T",1000,77.9848709350386,0,"2019-06-30","Upstream",1,2999.75,TRUE,FALSE,"Rural","Large","SAN ANTONIO","TX",78252
970050,"SPLENDORA ISD",3438,4000,1163.46713205352,1,"PHONOSCOPE LIGHT",4000,1163.46713205352,1,"2018-06-30","Internet",1,10650,TRUE,TRUE,"Rural","Medium","SPLENDORA","TX",77372
