"esh_id","service_provider_2015","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis"
965937,"South Dakota Network",250,"2016-06-30","Upstream",0.81,3625.09090909091,TRUE,FALSE
965937,"Cable One, Inc.",60,"2016-06-30","Internet",0.19,116.5,FALSE,FALSE
965938,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965939,"South Dakota Network",100,"2016-06-30","Upstream",0.99,1829.71830985915,TRUE,FALSE
965939,"Fort Randall Tele",1.5,"2016-06-30","Internet",0.01,60.95,FALSE,FALSE
965942,"Midcontinent",300,"2016-06-30","Upstream",0.94,1075,TRUE,FALSE
965942,"TrioTel Comm",20,"2016-06-30","Internet",0.06,170,FALSE,FALSE
965943,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965946,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965947,"South Dakota Network",150,"2016-06-30","Upstream",1,3102.63497652582,TRUE,FALSE
965948,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965949,"South Dakota Network",300,"2016-06-30","Upstream",1,4898.00757575758,TRUE,FALSE
965950,"South Dakota Network",50,"2016-06-30","Upstream",0.77,1272.91666666667,TRUE,FALSE
965950,"Dickey Rural",15,"2016-06-30","Internet",0.23,84.53,FALSE,FALSE
965951,"South Dakota Network",150,"2016-06-30","Upstream",1,3102.63497652582,TRUE,FALSE
965954,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965955,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965957,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965958,"South Dakota Network",50,"2016-06-30","Upstream",0.89,1272.91666666667,TRUE,FALSE
965958,"Golden West",6,"2016-06-30","Internet",0.11,72.95,FALSE,FALSE
965960,"Midcontinent",250,"2016-06-30","Upstream",1,675,TRUE,FALSE
965961,"Midcontinent",450,"2016-06-30","Upstream",1,2275,TRUE,FALSE
965963,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965965,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965966,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965969,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965971,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965972,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965975,"South Dakota Network",100,"2016-06-30","Upstream",0.96,1829.71830985915,TRUE,FALSE
965975,"TrioTel Comm",2.2,"2016-06-30","Internet",0.02,139.9,FALSE,FALSE
965975,"Santel Comm",2,"2016-06-30","Internet",0.02,101.45,FALSE,FALSE
965976,"Midcontinent",450,"2016-06-30","Upstream",1,2275,TRUE,FALSE
965977,"South Dakota Network",100,"2016-06-30","Upstream",1,1829.71830985915,TRUE,FALSE
965980,"Midcontinent",100,"2016-06-30","Upstream",1,750,TRUE,FALSE
965981,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965982,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965984,"South Dakota Network",50,"2016-06-30","Upstream",1,1272.91666666667,TRUE,FALSE
965985,"South Dakota Network",550,"2016-06-30","Upstream",0.98,9830.36086214255,TRUE,FALSE
965985,"Golden West",12,"2016-06-30","Internet",0.02,139.9,FALSE,FALSE
