"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly"
"2733","Fiber","Fiber","Fiber","2758965-1",TRUE
"2742","Fiber","Fiber","Fiber","2759172-1",TRUE
"2747","Other / Uncategorized","Cable / DSL","Other / Uncategorized","2759249-1",FALSE
"2753","Fiber","Fiber","Fiber","2759364-1",TRUE
"2755","Fiber","Fiber","Fiber","2759444-2",TRUE
"2756","Fiber","Fiber","Fiber","2759495-1",TRUE
"2766","Fiber","Fiber","Other / Uncategorized","2759497-8",TRUE
"2772","Fiber","Fiber","Fiber","2759589-1",TRUE
"2774","Copper","Copper","Other / Uncategorized","2759632-1",TRUE
"2778","Fiber","Fiber","Fiber","2759659-1",TRUE
"2783","Fiber","Fiber","Other / Uncategorized","2759733-2",TRUE
"2797","Fiber","Fiber","Fiber","2759823-3",TRUE
"2803","Fiber","Fiber","Fiber","2759882-1",TRUE
"2819","Fiber","Fiber","Fiber","2760165-1",TRUE
"2821","Fiber","Fiber","Other / Uncategorized","2760190-1",TRUE
"2834","Fiber","Fiber","Fiber","2760353-1",TRUE
"2835","Fiber","Fiber","Fiber","2760379-1",TRUE
"2847","Fiber","Fiber","Fiber","2760675-1",TRUE
"2853","Fiber","Fiber","Fiber","2760871-2",TRUE
"2860","Fiber","Fiber","Fiber","2760925-1",TRUE
"2862","Fiber","Fiber","Fiber","2760982-1",TRUE
"2864","Fiber","Fiber","Fiber","2761021-1",TRUE
"2870","Fiber","Fiber","Other / Uncategorized","2761106-1",TRUE
"2876","Fiber","Fiber","Fiber","2761152-1",TRUE
"2881","Fiber","Fiber","Fiber","2761153-3",TRUE
"2882","Cable / DSL","Cable / DSL","Other / Uncategorized","2761153-4",TRUE
"2883","Fiber","Fiber","Fiber","2761153-5",TRUE
"2893","Fiber","Fiber","Fiber","2761247-1",TRUE
"2897","Fiber","Fiber","Other / Uncategorized","2761377-1",TRUE
"2911","Fiber","Fiber","Other / Uncategorized","2761550-1",TRUE
"2914","Cable / DSL","Cable / DSL","Cable / DSL","2761649-1",TRUE
"2916","Other / Uncategorized","Other / Uncategorized","Fiber","2761722-1",TRUE
"2926","Fiber","Fiber","Fiber","2761885-3",TRUE
"2934","Other / Uncategorized","Other / Uncategorized","Fiber","2761975-1",TRUE
"2936","Fiber","Fiber","Fiber","2762073-1",TRUE
"2939","Fiber","Fiber","Fiber","2762136-2",TRUE
"2941","Other / Uncategorized","Other / Uncategorized","Fiber","2762140-1",TRUE
"2944","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2762217-1",TRUE
"2945","Fiber","Fiber","Fiber","2762247-1",TRUE
"2952","Fiber","Fiber","Fiber","2762337-1",TRUE
"2954","Fiber","Fiber","Fiber","2762360-1",TRUE
"2955","Fiber","Fiber","Fiber","2762360-2",TRUE
"2964","Fiber","Fiber","Fiber","2762570-1",TRUE
"2969","Fiber","Fiber","Fiber","2762638-1",TRUE
"2970","Fiber","Fiber","Fiber","2762641-1",TRUE
"2976","Cable / DSL","Cable / DSL","Other / Uncategorized","2762740-1",TRUE
"2981","Copper","Copper","Copper","2762871-1",TRUE
"2983","Fiber","Fiber","Fiber","2762877-1",TRUE
"2992","Fiber","Fiber","Fiber","2763208-1",TRUE
"3003","Fiber","Fiber","Fiber","2763369-1",TRUE
"3005","Fiber","Fiber","Other / Uncategorized","2763369-3",TRUE
"3009","Fiber","Fiber","Fiber","2763374-1",TRUE
"3010","Fiber","Fiber","Fiber","2763380-1",TRUE
"3013","Fiber","Fiber","Fiber","2763436-3",TRUE
"3017","Fiber","Fiber","Fiber","2763454-1",TRUE
"3020","Cable / DSL","Cable / DSL","Other / Uncategorized","2763487-1",TRUE
"3024","Fiber","Fiber","Fiber","2763600-2",TRUE
"3029","Fiber","Fiber","Fiber","2763687-1",TRUE
"3040","Fiber","Fiber","Fiber","2763789-1",TRUE
"3041","Fiber","Fiber","Fiber","2763828-1",TRUE
"3055","Fiber","Fiber","Other / Uncategorized","2763941-2",TRUE
"3069","Fiber","Fiber","Fiber","2764087-1",TRUE
"3073","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2764124-1",TRUE
"3074","Fiber","Fiber","Fiber","2764129-1",TRUE
"3077","Fiber","Fiber","Other / Uncategorized","2764227-1",TRUE
"3082","Fiber","Fiber","Fiber","2764284-2",TRUE
"3084","Fiber","Fiber","Fiber","2764306-1",TRUE
"3085","Fixed Wireless","Fixed Wireless","Fixed Wireless","2764313-1",TRUE
"3093","Fiber","Fiber","Fiber","2764446-1",TRUE
"3095","Fiber","Fiber","Fiber","2764456-1",TRUE
