bigram,count
"('factor', 'considered')",17
"('discounts', 'following')",17
"('rfp', 'also')",17
"('1', 'modified')",17
"('review', 'process')",17
"('dr1', '6')",17
"('22', '2017')",17
"('well', 'documentation')",16
"('frn', 'include')",16
"('service', 'funding')",16
"('bidding', 'requirement')",16
"('mail', 'services')",16
"('based', 'documentation')",16
"('evaluate', 'documentation')",16
"('bidding', 'frn')",16
"('dr1', 'based')",16
"('rfp', 'issued')",16
"('frn', '16078738')",16
"('community', 'action')",16
"('two', 'services')",16
"('vendors', 'evaluate')",16
"('thus', 'made')",16
"('ineligible', 'items')",16
"('dr1', 'review')",16
"('bidding', 'review')",16
"('administrator', 'competitive')",16
"('request', 'voice')",16
"('contained', 'information')",16
"('1', '024')",16
"('therefore', 'meet')",16
"('801', '04')",16
