trigram,count
"('17012378', 'opportunity', 'youth')",31
"('youth', 'center', 'oya')",31
"('youth', 'academy', 'agree')",31
"('failed', 'select', 'cost')",31
"('dark', 'fiber', 'associated')",31
"('offered', 'frn', 'requests')",31
"('frn', 'ineligible', 'entities')",31
"('cost', 'eligible', 'products')",31
"('1699145599', 'denied', 'applicant')",31
"('washington', 'youth', 'center')",31
"('vendor', 'documentation', 'support')",31
"('academy', '16039828', 'closed')",31
"('academy', '16042682', 'success')",31
"('therefore', 'frn', 'also')",31
"('requests', 'network', 'equipment')",31
"('academy', 'agree', 'applicant')",31
"('leased', 'lit', 'fiber')",31
"('member', 'entities', 'entity')",31
"('1699145599', 'frn', '1699138580')",31
"('hub', 'oya', '17010500')",31
"('opportunity', 'youth', 'academy')",31
"('removed', 'recipient', 'service')",31
"('eligible', 'funding', 'entities')",31
"('modified', '1', 'line')",31
"('entities', 'entity', 'terra')",31
"('entities', 'removed', 'recipient')",31
"('within', 'frn', 'ineligible')",31
