"","postal_cd","district_esh_id","pct_scalable"
"895","CT",884308,1
"896","CT",884309,1
"897","CT",884311,1
"898","CT",884312,1
"899","CT",884314,1
"900","CT",884317,1
"901","CT",884318,0.333333333333333
"902","CT",884320,1
"903","CT",884321,1
"904","CT",884323,1
"905","CT",884324,1
"906","CT",884325,1
"907","CT",884326,1
"908","CT",884327,0.333333333333333
"909","CT",884328,1
"910","CT",884331,0.333333333333333
"911","CT",884332,1
"912","CT",884335,1
"913","CT",884337,0.75
"914","CT",884338,0.916666666666667
"915","CT",884339,0.2
"916","CT",884340,1
"917","CT",884343,1
"918","CT",884345,1
"919","CT",884346,1
"920","CT",884347,0.5
"921","CT",884348,0.333333333333333
"922","CT",884349,1
"923","CT",884350,0.428571428571429
"924","CT",884351,1
"925","CT",884352,0.25
"926","CT",884354,1
"927","CT",884355,0.5
"928","CT",884356,1
"929","CT",884357,1
"930","CT",884358,1
"931","DC",884755,0.956896551724138
"932","DE",886853,1
"933","DE",886854,1
"934","DE",886857,1
"935","DE",886858,1
"936","DE",886860,1
"937","DE",886861,1
"938","DE",886862,1
"939","DE",886865,1
"940","DE",886866,1
"941","DE",886868,1
"942","DE",886869,1
"943","DE",886871,1
"944","DE",886872,1
"945","DE",886873,1
"946","DE",886875,1
"947","FL",888975,1
"948","FL",888977,0.25
"949","FL",888978,0.555555555555556
"950","FL",888979,0.871287128712871
"951","FL",888980,1
"952","FL",888983,1
"953","FL",888984,1
"954","FL",888988,0.8
"955","FL",888992,0.384615384615385
"956","FL",888993,1
"957","FL",888994,0.5
"958","FL",888995,1
"959","FL",888996,0.4
"960","FL",888997,0.75
"961","FL",888998,1
"962","FL",888999,1
"963","FL",889000,0.888888888888889
"964","FL",889001,1
"965","FL",889003,0.5
"966","FL",889004,0.991228070175439
"967","FL",889005,1
"968","FL",889007,1
"969","FL",889008,1
"970","FL",889009,1
"971","FL",889010,1
"972","FL",889012,0.877551020408163
"973","FL",889014,1
"974","FL",889015,0.75
"975","FL",889016,1
"976","FL",889018,0.192982456140351
"977","FL",889019,1
"978","FL",889020,1
"979","FL",889021,1
"980","FL",889025,0.692307692307692
"981","FL",889027,1
"982","FL",889028,1
"983","FL",889029,0.994413407821229
"984","FL",889032,0.853658536585366
"985","FL",889034,0.96551724137931
"986","FL",889035,1
"987","FL",889036,1
"988","FL",889037,0.657142857142857
"989","FL",889038,1
"990","FL",889039,1
"991","FL",889043,1
"992","FL",889044,1
"993","FL",889047,1
"994","GA",889810,0.157894736842105
"995","GA",889835,1
"996","GA",889836,1
"997","GA",889838,1
"998","GA",889840,0.4
"999","GA",889857,1
"1000","GA",889858,1
"1001","GA",889859,0.95
"1002","GA",889860,1
"1003","GA",889863,0.5
"1004","GA",889865,1
"1005","GA",889867,1
"1006","GA",889869,1
"1007","GA",889872,1
"1008","GA",889874,1
"1009","GA",889875,1
"1010","GA",889877,0.666666666666667
"1011","GA",889878,1
"1012","GA",889879,1
"1013","GA",889881,1
"1014","GA",889882,1
"1015","GA",889883,1
"1016","GA",889884,1
"1017","GA",889885,1
"1018","GA",889887,1
"1019","GA",889889,1
"1020","GA",889890,1
"1021","GA",889891,0.916666666666667
"1022","GA",889893,1
"1023","GA",889894,1
"1024","GA",889895,1
"1025","GA",889896,0.0740740740740741
"1026","GA",889898,0.8
"1027","GA",889899,1
"1028","GA",889900,1
"1029","GA",889901,1
"1030","GA",889902,1
"1031","GA",889903,1
"1032","GA",889904,1
"1033","GA",889907,0.888888888888889
"1034","GA",889908,1
"1035","GA",889909,1
"1036","GA",889910,1
"1037","GA",889911,1
"1038","GA",889912,1
"1039","GA",889915,0.714285714285714
"1040","GA",889917,1
"1041","GA",889918,1
"1042","GA",889919,1
"1043","GA",889920,1
"1044","GA",889921,1
"1045","GA",889922,1
"1046","GA",889926,1
"1047","GA",889928,1
"1048","GA",889930,1
"1049","GA",889931,1
"1050","GA",889932,1
"1051","GA",889934,1
"1052","GA",889937,1
"1053","GA",889940,1
"1054","GA",889942,0.909090909090909
"1055","GA",889944,1
"1056","GA",889948,0.5
"1057","GA",889950,1
"1058","GA",889951,1
"1059","GA",889954,1
"1060","GA",889955,1
"1061","GA",889957,0.333333333333333
"1062","GA",889958,1
"1063","GA",889959,1
"1064","GA",889960,1
"1065","GA",889962,1
"1066","GA",889963,1
"1067","GA",889965,1
"1068","GA",889967,1
"1069","GA",889968,0.875
"1070","GA",889969,1
"1071","GA",889970,1
"1072","GA",889973,1
"1073","GA",889974,1
"1074","GA",889976,1
"1075","GA",889977,1
"1076","GA",889978,0.5
"1077","GA",889979,1
"1078","GA",889980,1
"1079","GA",889982,1
"1080","GA",889984,0.666666666666667
"1081","GA",889985,1
"1082","GA",889988,0.333333333333333
"1083","GA",889989,1
"1084","GA",889991,0.4
"1085","GA",889994,1
"1086","GA",889995,1
"1087","GA",889996,1
"1088","GA",889997,1
"1089","GA",889998,1
"1090","GA",890000,1
"1091","GA",890002,1
"1092","GA",890003,1
"1093","GA",890004,1
"1094","GA",890005,1
"1095","GA",890006,1
"1096","GA",890009,1
"1097","GA",890010,1
"1098","GA",890011,1
"1099","GA",890012,1
"1100","GA",890015,1
"1101","GA",890018,1
"1102","GA",890019,1
"1103","GA",890020,0.666666666666667
"1104","GA",890021,1
"1105","GA",890023,1
"1106","GA",890025,1
"1107","GA",890026,0.5
"1108","GA",890027,1
"1109","GA",890029,1
"1110","GA",890030,1
"1111","GA",890031,1
"1112","GA",890032,1
