BE Name,esh_id,c1_discount_rate_max,c1_discount_rate_min,num_schools
ARGYLE SCHOOL DISTRICT,983724,70,70,2
ARICKAREE SCHOOL DISTRICT R 2,881765,80,80,2
ARKADELPHIA SCHOOL DISTRICT,881878,80,80,5
ARKANSAS CITY UNIFIED S D 470,903417,80,80,8
ARKOMA INDEP SCHOOL DIST 91,951093,90,90,2
ARKPORT CENTRAL SCHOOL DIST,946205,60,60,1
ARLEE SCHOOL DISTRICT JT 8,928771,80,80,3
ARLINGTON CENTRAL SCHOOL DIST,946207,60,50,12
Arlington County Public School District,975498,50,50,37
ARLINGTON HEIGHTS SCH DIST 25,900907,40,40,9
ARLINGTON INDEP SCHOOL DIST,969005,80,80,76
ARLINGTON LOCAL SCHOOL,973683,60,60,
ARLINGTON PUBLIC SCHOOLS,936023,60,60,2
ARLINGTON SCHOOL DISTRICT,911010,40,40,9
ARLINGTON SCHOOL DISTRICT 16,982949,50,50,10
ARLINGTON SCHOOL DISTRICT 38-1,965844,60,60,3
ARLINGTON SCHOOL DISTRICT 47,882979,90,90,1
ARMADA AREA SCHOOL DISTRICT,919492,50,50,5
ARMONA UNION ELEM SCHOOL DIST,882717,90,90,2
ARMOREL PUBLIC SCHOOL DISTRICT,881884,70,70,2
ARMOREL SCHOOL DISTRICT,881884,70,70,2
ARMOUR SCHOOL DISTRICT 21-1,965845,60,60,3
ARMSTRONG-ELLIS CONS SCH DIS61,900909,80,80,1
ARMSTRONG SCHOOL DISTRICT,953619,80,80,12
ARNETT SCHOOLS,951094,70,70,2
ARNOLD PUBLIC SCHOOL DISTRICT,935934,60,50,2
AROCK SCHOOL DISTRICT 81,952147,80,80,1
ARP INDEPENDENT SCHOOL DIST,969006,80,80,4
ARRIBA-FLAGLER SCHOOL DIST 20,881771,80,80,3
ARROWHEAD ELEM SCHOOL DIST 75,928772,80,80,2
ARTESIA PUBLIC SCHOOL DISTRICT,942827,70,70,10
ARTHUR COUNTY SCHOOLS,936024,25,25,2
ARTHUR C U SCHOOL DISTRICT 305,900911,70,70,4
ARVIN UNION ELEM SCHOOL DIST,882723,90,90,4
ARVON TOWNSHIP SCHOOL DISTRICT,919493,90,90,1
AR-WE-VA COMM SCHOOL DISTRICT,894172,70,70,4
ASCENSION PARISH SCHOOL DIST,909656,60,60,27
ASHBURNHAM-WESTMINSTER REG DIST,911011,50,50,5
ASHBY SCHOOL,922514,70,70,2
ASH CREEK ELEM SCH DISTRICT 53,883028,90,90,1
ASHDOWN PUBLIC SCHOOL DISTRICT,881890,80,80,5
ASHDOWN SCHOOL DISTRICT,881890,80,80,5
ASHEBORO CITY SCHOOLS DISTRICT,929472,90,80,8
ASHE COUNTY SCHOOL DISTRICT,929471,80,80,5
ASHER PUBLIC SCHOOLS,951096,80,80,2
ASHEVILLE CITY SCHOOL DISTRICT,929473,60,60,9
ASH FORK UNIF SCHOOL DIST 31,883044,80,80,3
ASH GROVE SCHOOL DISTRICT R 4,924078,70,70,3
ASHLAND CITY SCHOOL DISTRICT,949561,70,70,7
ASHLAND-GREENWOOD SCH DISTRICT,935917,60,60,3
ASHLAND INDEP SCHOOL DISTRICT,904395,80,80,8
ASHLAND PUBLIC SCHOOLS,911012,40,40,4
ASHLAND SCHOOL DISTRICT,983726,80,80,5
ASHLAND SCHOOL DISTRICT 5,952149,60,60,6
ASHLAND UNIF SCHOOL DIST 220,903420,80,70,3
ASHLEY COMM CONS SCH DIST 15,900912,90,90,1
ASHLEY COMMUNITY SCHOOL DIST,919494,80,80,3
ASHLEY SCHOOL DISTRICT 9,933636,70,70,2
ASHTABULA AREA CITY SCHOOLS,949562,90,90,7
ASHTON FRANKLIN CENTER COMM UNIT SCH DIST 275,900913,70,70,3
ASHWAUBENON SCHOOL DISTRICT,983727,50,50,5
ASOTIN-ANATONE SCHOOL DIST 420,982950,50,50,2
ASPEN SCHOOL DISTRICT RE 1,881775,50,50,3
ASPERMONT INDEP SCHOOL DIST,968675,80,80,2
ASSUMPTION PARISH SCHOOL DIST,909658,80,80,10
ASTORIA COMM UNIT SCH DIST 1,900914,80,80,3
ASTORIA SCHOOL DISTRICT 1 C,952151,80,80,4
ATASCADERO UNIF SCHOOL DIST,882729,80,60,12
ATCHISON COUNTY COMM U S D 377,903481,80,80,2
ATCHISON UNIF SCHOOL DIST 409,903345,80,80,4
ATHENA WESTON SCH DIST 29 R J,952153,80,80,3
ATHENS AREA SCHOOL DISTRICT,953621,70,70,9
ATHENS CITY SCHOOL DISTRICT,967052,90,60,6
ATHENS COMM UNIT SCH DIST 213,900915,60,60,4
ATHENS INDEP SCHOOL DISTRICT,969007,90,90,6
ATHENS SCHOOL DISTRICT,983729,70,70,3
ATHERTON COMM SCHOOL DISTRICT,919496,80,80,3
ATHOL-ROYALSTON REG SCH DIST,911014,80,70,7
ATKINSON COUNTY SCHOOL DIST,889836,90,90,4
ATKINS PUBLIC SCHOOL DISTRICT,881896,80,80,3
ATKINS SCHOOL DISTRICT,881896,80,80,3
ATLANTA COMM SCHOOL DISTRICT,919498,80,80,1
Atlanta Community Schools,923723,80,80,
ATLANTA INDEP SCHOOL DISTRICT,969009,80,80,5
Atlanta Public Schools,889837,90,90,100
ATLANTA PUBLIC SCHOOLS,889837,90,90,100
ATLANTA SCHOOL DISTRICT C 3,924079,80,70,2
ATLANTIC CITY BVE-ADMIN,941065,90,90,9
ATLANTIC COMM SCHOOL DISTRICT,894174,80,80,4
