esh_id,id,MEMBER,TOTET
909763,39621,152,152
909763,39636,150,150
909723,38901,144,144
909760,39576,139,139
909758,39500,139,139
909729,38959,137,137
909731,38990,129,129
909720,38863,127,127
909731,39035,125,125
909709,38583,125,125
909756,39439,111,111
909763,39640,110,110
909742,39272,103,103
909764,39662,97,97
909720,38869,96,96
909749,39399,94,94
909763,39622,85,85
909741,39249,82,82
909720,38799,79,79
909716,38760,69,69
909756,39442,68,68
909738,39202,65,65
909746,39323,63,63
909635,38373,62,62
909715,38757,62,62
909747,39372,55,55
909761,39582,53,53
909740,39237,44,44
909737,39190,39,39
909742,39266,34,34
909713,38696,34,34
909731,39051,34,34
909763,39655,32,32
909725,38917,32,32
909718,38786,24,24
909711,38611,16,16
909708,38572,15,15
909708,38579,15,15
909741,39252,11,11
909739,39226,9,9
909766,39686,5,5
909722,38888,4,4
909734,39131,1,1
